"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size"
"de.rmgk.CollectionCreation.immutableIndexedSeqVector","thrpt",1,9,"3,004013","0,058535","ops/ms",10000
"de.rmgk.CollectionCreation.immutableLinearSeqList","thrpt",1,9,"15,589897","0,600696","ops/ms",10000
"de.rmgk.CollectionCreation.immutableLinearSeqQueue","thrpt",1,9,"8,249903","2,539047","ops/ms",10000
"de.rmgk.CollectionCreation.immutableLinearSeqStream","thrpt",1,9,"2,572886","0,034139","ops/ms",10000
"de.rmgk.CollectionCreation.immutableList","thrpt",1,9,"15,071084","2,706782","ops/ms",10000
"de.rmgk.CollectionCreation.immutableListFill","thrpt",1,9,"11,062507","0,539843","ops/ms",10000
"de.rmgk.CollectionCreation.immutableMapHash","thrpt",1,9,"0,580447","0,013257","ops/ms",10000
"de.rmgk.CollectionCreation.immutableMapTree","thrpt",1,9,"0,358813","0,006227","ops/ms",10000
"de.rmgk.CollectionCreation.immutableScalazIList","thrpt",1,9,"16,402671","0,878165","ops/ms",10000
"de.rmgk.CollectionCreation.immutableSetHash","thrpt",1,9,"0,606442","0,040865","ops/ms",10000
"de.rmgk.CollectionCreation.immutableSetTree","thrpt",1,9,"0,351032","0,010152","ops/ms",10000
"de.rmgk.CollectionCreation.javaArrayList","thrpt",1,9,"13,968862","5,180071","ops/ms",10000
"de.rmgk.CollectionCreation.javaArrayListSizeHint","thrpt",1,9,"19,946346","5,600230","ops/ms",10000
"de.rmgk.CollectionCreation.javaAsScalaArrayList","thrpt",1,9,"0,731401","0,023141","ops/ms",10000
"de.rmgk.CollectionCreation.javaAsScalaArrayListSizeHint","thrpt",1,9,"0,737035","0,002828","ops/ms",10000
"de.rmgk.CollectionCreation.javaHashSet","thrpt",1,9,"5,036451","0,082035","ops/ms",10000
"de.rmgk.CollectionCreation.javaLinkedList","thrpt",1,9,"12,324422","0,480176","ops/ms",10000
"de.rmgk.CollectionCreation.javaVector","thrpt",1,9,"13,250872","7,235496","ops/ms",10000
"de.rmgk.CollectionCreation.javaVectorSizeHint","thrpt",1,9,"14,649222","7,936096","ops/ms",10000
"de.rmgk.CollectionCreation.mutableArray","thrpt",1,9,"21,877910","9,935853","ops/ms",10000
"de.rmgk.CollectionCreation.mutableLinearSeqMutableList","thrpt",1,9,"3,218370","0,018069","ops/ms",10000
"de.rmgk.CollectionCreation.mutableMapHash","thrpt",1,9,"1,719479","0,034252","ops/ms",10000
"de.rmgk.CollectionCreation.mutableMapLinkedHash","thrpt",1,9,"1,458657","0,091512","ops/ms",10000
"de.rmgk.CollectionCreation.mutableMapOpenHash","thrpt",1,9,"4,312052","0,042962","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSeqArray","thrpt",1,9,"1,203680","0,014834","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSeqArrayBuffer","thrpt",1,9,"3,915621","0,112272","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSeqArrayStack","thrpt",1,9,"6,717420","0,051004","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSeqListBuffer","thrpt",1,9,"1,075119","0,019830","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSeqStack","thrpt",1,9,"0,885734","0,282921","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSetHash","thrpt",1,9,"1,695621","0,137829","ops/ms",10000
"de.rmgk.CollectionCreation.mutableSetLinkedHash","thrpt",1,9,"1,427804","0,317841","ops/ms",10000
"de.rmgk.ConcurrentMapRead.concurrentMap","thrpt",16,9,"287,203215","15,093761","ops/us",
"de.rmgk.ConcurrentMapRead.javaMap","thrpt",16,9,"267,633434","2,493730","ops/us",
"de.rmgk.ConcurrentMapRead.scalaMapImmutable","thrpt",16,9,"118,679787","1,203320","ops/us",
"de.rmgk.ConcurrentMapRead.scalaMapMutable","thrpt",16,9,"203,349912","2,952564","ops/us",
"de.rmgk.DeclarationLocationName.currentStackTrace","thrpt",1,9,"84,644936","0,835768","ops/ms",
"de.rmgk.DeclarationLocationName.gettingLocationNames","thrpt",1,9,"58,961964","1,776052","ops/ms",
"de.rmgk.Exceptions.catchingExceptions","thrpt",1,9,"105623,179884","756,767861","ops/ms",
"de.rmgk.Exceptions.monadicExceptions","thrpt",1,9,"71981,400861","18788,958601","ops/ms",
"de.rmgk.Exceptions.newControlThrowable","thrpt",1,9,"94740,295717","22850,383354","ops/ms",
"de.rmgk.Exceptions.newNoStackException","thrpt",1,9,"63271,133254","28802,146038","ops/ms",
"de.rmgk.Exceptions.newThrowable","thrpt",1,9,"909,534745","68,412980","ops/ms",
"de.rmgk.HashMapSize.insertWithSizeHint","thrpt",1,9,"6,316026","0,072000","ops/ms",10000
"de.rmgk.HashMapSize.insertWithSizeHint","thrpt",1,9,"0,256735","0,065843","ops/ms",100000
"de.rmgk.HashMapSize.insertWithoutSizeHint","thrpt",1,9,"2,918675","0,862549","ops/ms",10000
"de.rmgk.HashMapSize.insertWithoutSizeHint","thrpt",1,9,"0,155023","0,047694","ops/ms",100000
"de.rmgk.PartialFunctions.useFlatmap","thrpt",1,9,"373,325153","7,583170","ops/ms",
"de.rmgk.PartialFunctions.usePartialFunction","thrpt",1,9,"406,760205","1,249808","ops/ms",
